compound_id	smiles
id_262	O=C(O)C1OC(O)(CO)C(O)C1O
id_263	O=C(O)C(O)C(O)C(O)C(O)C(=O)O
id_264	O=C(O)C1OC(O)C(O)C(O)C1O
id_265	NC1C(OP(=O)(O)O)OC(CO)C(O)C1O
id_266	NC1C(O)OC(COP(=O)(O)O)C(O)C1O
id_267	O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
id_268	NC(CCC(=O)O)C(=O)O
id_269	O=CC(O)CO
id_270	O=C(O)C(CO)OP(=O)(O)O
id_271	O=P(O)(O)OCC(O)C1OC(OP(=O)(O)O)C(O)C(O)C1O
id_272	O=P(O)(O)OC1OC(C(O)CO)C(O)C(O)C1O
id_273	O=P(O)(O)OCC(O)C1OC(O)C(O)C(O)C1O
id_274	CC(O)C=O
id_275	CC(O)C(=O)O
id_276	O=C(O)CC(O)C(=O)O
id_277	O=P(O)(O)OCC(O)C(O)C(O)C(O)CO
id_278	OCC1OC(O)C(O)C1O
id_279	O=P(O)(O)OCC1OC(OP(=O)(O)O)C(O)C1O
id_280	O=C(CO)C(O)C(O)COP(=O)(O)O
id_281	NC(CO)C(=O)O
id_282	OC1COC(O)C(O)C1O
id_283	O=C(CO)C(O)C(O)CO
id_284	O=P(O)(O)OCC(O)C(O)c1cnc[nH]1
id_285	O=C(O)C(O)C(O)C(=O)O
id_286	Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1
id_287	Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1
id_288	Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
